month,total_official_reserve_assets_mln_PLN,monetary_gold_mln_PLN,other_reserve_assets_mln_PLN
07/2008,"174,247.00","6,188.80","167,489.70"
08/2008,"185,157.10","6,280.40","178,268.40"
09/2008,"175,975.30","7,036.50","168,307.30"
10/2008,"181,785.30","6,863.00","174,217.40"
11/2008,"185,079.30","7,858.70","176,165.10"
12/2008,"184,165.20","8,476.90","174,574.30"
01/2009,"204,779.70","10,503.40","193,035.20"
02/2009,"227,516.40","11,478.10","214,731.00"
03/2009,"216,926.60","10,763.20","204,736.10"
04/2009,"210,588.60","9,665.40","199,591.10"
05/2009,"216,024.00","10,231.00","204,646.50"
06/2009,"212,987.60","9,880.20","201,963.40"
07/2009,"211,185.70","9,148.70","200,618.50"
08/2009,"217,406.40","9,065.60","202,431.80"
09/2009,"225,520.60","9,558.30","208,574.60"
10/2009,"239,275.90","9,882.40","222,044.50"
11/2009,"234,349.20","10,678.80","216,531.80"
12/2009,"226,859.20","10,411.70","209,225.40"
01/2010,"247,458.50","10,419.60","229,750.40"
02/2010,"249,053.90","10,767.80","231,009.40"
03/2010,"244,786.60","10,543.80","227,217.70"
04/2010,"259,574.20","11,396.10","241,012.00"
05/2010,"286,569.50","13,237.90","265,497.60"
06/2010,"290,100.00","13,933.80","268,074.20"
07/2010,"286,269.90","11,877.00","267,032.60"
08/2010,"293,965.00","12,890.70","273,570.40"
09/2010,"288,523.10","12,688.60","268,662.70"
10/2010,"287,926.40","12,771.10","267,999.70"
11/2010,"302,321.60","14,244.40","280,592.20"
12/2010,"277,186.10","13,831.70","255,885.80"
01/2011,"276,172.00","12,727.70","256,216.60"
02/2011,"297,816.10","13,418.10","277,096.40"
03/2011,"301,008.70","13,366.60","280,269.90"
04/2011,"296,780.10","13,464.70","276,248.40"
05/2011,"295,578.40","13,969.70","274,268.70"
06/2011,"300,337.70","13,730.50","279,274.30"
07/2011,"299,829.50","15,009.50","277,259.30"
08/2011,"307,011.00","17,337.70","281,907.50"
09/2011,"326,847.50","17,558.10","300,769.60"
10/2011,"318,557.80","17,636.30","292,701.30"
11/2011,"337,908.30","19,310.40","309,698.80"
12/2011,"334,447.20","17,804.30","306,537.30"
01/2012,"321,341.80","18,421.30","293,601.50"
02/2012,"313,120.90","18,180.90","286,011.40"
03/2012,"311,057.20","17,140.30","284,766.90"
04/2012,"323,940.50","17,333.30","297,024.10"
05/2012,"347,405.20","18,346.50","318,598.30"
06/2012,"343,553.60","17,597.60","315,790.00"
07/2012,"342,717.30","17,992.30","314,803.30"
08/2012,"345,283.20","18,295.30","316,962.90"
09/2012,"336,130.90","18,728.50","307,674.80"
10/2012,"336,925.00","18,080.80","309,117.80"
11/2012,"339,644.70","18,062.30","311,850.90"
12/2012,"337,591.70","17,066.50","310,975.90"
01/2013,"333,453.70","17,106.60","307,082.30"
02/2013,"339,253.80","16,677.40","313,228.70"
03/2013,"354,805.80","17,235.10","328,157.20"
04/2013,"346,057.50","15,458.30","321,403.70"
05/2013,"363,230.60","15,377.20","338,500.60"
06/2013,"354,690.40","13,208.50","331,954.10"
07/2013,"351,632.70","14,067.30","328,299.20"
08/2013,"352,337.50","14,843.50","328,385.30"
09/2013,"333,699.60","13,802.00","310,828.00"
10/2013,"321,983.20","13,463.50","299,608.00"
11/2013,"330,200.30","12,709.90","308,473.40"
12/2013,"319,933.00","11,974.70","299,235.50"
01/2014,"332,661.70","12,904.90","311,154.50"
02/2014,"315,873.30","13,291.80","294,236.80"
03/2014,"312,077.10","12,992.50","290,762.50"
04/2014,"311,905.50","13,013.50","290,436.70"
05/2014,"312,662.50","12,628.70","291,620.50"
06/2014,"310,676.20","13,239.40","289,013.80"
07/2014,"321,761.80","13,324.00","300,000.60"
08/2014,"325,952.20","13,599.40","303,757.10"
