quarter,new_construction_permits_issued,new_constructions_started,dwellings_in_construction,new_dwellings_completed_total,GDP_nominal_current_prices_mln_PLN,export_goods_and_services_current_prices_mln_PLN,imports_goods_and_services_current_prices,GDP_consumption_mln_PLN,GDP_investments_mln_PLN
Q3Y2012,"40,000.00","36,100.00","735,800.00","37,000.00","400,837.50","180,242.40","179,819.50","320,377.10","80,037.50"
Q4Y2012,"37,300.00","25,000.00","712,700.00","48,100.00","447,371.50","183,204.00","186,687.74","323,543.60","127,311.70"
Q1Y2013,"29,500.00","21,600.00","697,100.00","37,100.00","378,756.47","176,964.90","175,542.60","329,813.50","47,520.70"
Q2Y2013,"38,400.00","37,400.00","703,700.00","30,800.00","399,916.30","187,552.90","177,436.20","320,810.80","68,988.80"
Q3Y2013,"36,900.00","38,900.00","708,500.00","34,100.00","405,103.50","196,057.90","189,773.90","326,998.00","71,821.50"
Q4Y2013,"34,000.00","29,500.00","694,900.00","43,000.00","462,947.60","196,960.70","191,054.60","328,330.30","128,711.20"
Q1Y2014,"34,800.00","32,200.00","691,600.00","35,600.00","396,634.70","193,361.41","189,691.54","337,632.60","55,332.20"
Q2Y2014,"41,900.00","40,000.00","700,800.00","30,900.00","416,337.90","199,034.40","193,993.37","333,046.80","78,250.10"
Q3Y2014,"43,800.00","42,300.00","709,400.00","33,700.00","423,147.90","203,500.39","198,371.30","333,251.30","84,767.50"
Q4Y2014,"36,500.00","33,600.00","699,900.00","43,000.00","475,123.70","212,147.73","209,408.99","337,265.50","135,119.50"
Q1Y2015,"38,600.00","31,800.00","700,000.00","31,700.00","414,810.90","213,195.08","198,815.90","344,646.30","55,785.40"
Q2Y2015,"48,600.00","48,500.00","716,200.00","32,300.00","434,588.40","216,169.93","203,916.80","339,380.20","82,955.10"
Q3Y2015,"51,200.00","47,700.00","726,600.00","37,400.00","440,965.90","219,485.75","211,946.10","344,119.20","89,307.00"
Q4Y2015,"50,400.00","40,300.00","720,600.00","46,400.00","510,746.90","235,337.43","219,867.80","352,382.30","142,895.00"
Q1Y2016,"42,700.00","34,300.00","717,500.00","37,400.00","430,411.30","230,538.60","212,395.90","354,473.30","57,795.30"
Q2Y2016,"55,600.00","52,000.00","733,200.00","36,300.00","451,043.30","244,563.40","221,696.20","348,628.50","79,547.60"
Q3Y2016,"56,200.00","46,800.00","741,700.00","38,300.00","455,789.30","237,032.50","225,002.30","356,458.30","87,300.80"
Q4Y2016,"57,000.00","40,800.00","731,200.00","51,300.00","526,242.90","255,478.60","238,287.40","366,625.50","142,426.20"
Q1Y2017,"60,700.00","44,200.00","734,900.00","40,500.00","458,677.90","263,926.70","245,384.30","375,757.50","64,378.00"
Q2Y2017,"70,600.00","61,800.00","759,000.00","37,800.00","479,296.20","264,586.30","243,600.80","369,214.90","89,095.80"
Q3Y2017,"59,600.00","54,800.00","767,800.00","45,900.00","491,469.10","267,281.80","247,706.50","379,964.90","91,928.90"
