"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"NGGWPUS","197510","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197511","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197512","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197513","21103.53","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197601","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197602","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197603","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197604","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197605","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197606","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197607","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197608","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197609","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197610","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197611","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197612","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197613","20943.778","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197701","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197702","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197703","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
