Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-06-05,13673.2,13673.5,13551,13595.5,223037748
2007-06-06,13590.7,13591.1,13437.3,13465.7,236825687
2007-06-07,13463.5,13480.2,13259.8,13266.7,298878757
2007-06-08,13267.1,13431.2,13251.5,13424.4,241998290
2007-06-11,13423.7,13478.1,13381.6,13425,180249196
2007-06-12,13424.4,13449.5,13294.6,13295,233424365
2007-06-13,13287.6,13485.1,13287.6,13482.3,253046091
2007-06-14,13482.4,13581.6,13479.3,13553.7,228682131
2007-06-15,13556.7,13688.7,13556.5,13639.5,425075903
2007-06-18,13639,13667.9,13608.8,13613,174383318
2007-06-19,13611.7,13652.2,13577.2,13635.4,233718864
2007-06-20,13636.5,13674.4,13483.2,13489.4,274668690
2007-06-21,13486.7,13564.2,13398.9,13545.8,241173447
2007-06-22,13545,13545.1,13359.7,13360.2,380868448
2007-06-25,13360.1,13488.8,13299.8,13352,251722415
2007-06-26,13352.4,13452.5,13308.7,13337.7,240948351
2007-06-27,13336.9,13433,13259.9,13427.7,246019415
2007-06-28,13427.5,13498.3,13389.3,13422.3,207127217
2007-06-29,13422.6,13524.5,13314,13408.6,262107608
2007-07-02,13409.6,13537.9,13409.5,13535.4,196411638
2007-07-03,13531.5,13591.7,13531.5,13577.3,111584923
2007-07-05,13576.2,13580,13513.5,13565.8,188836639
2007-07-06,13559,13633.6,13538,13611.7,176035608
2007-07-09,13612.7,13670.5,13609,13650,192835577
2007-07-10,13648.6,13649.2,13496.2,13501.7,274423909
2007-07-11,13500.4,13591,13474.8,13577.9,224412879
2007-07-12,13579.3,13869.9,13579.2,13861.7,300519805
2007-07-13,13859.9,13932.3,13845.9,13907.2,223816717
2007-07-16,13907.1,13989.1,13895,13951,209066573
2007-07-17,13952,14022,13942.8,13971.5,266018610
2007-07-18,13955,13965.9,13823.6,13918.2,324400352
2007-07-19,13918.8,14015.8,13918.8,14000.4,265391748
2007-07-20,14000.7,14009.3,13797.7,13851.1,377653705
2007-07-23,13851.7,13974,13851.7,13943.4,237448329
2007-07-24,13940.9,13941,13701.6,13717,296993596
2007-07-25,13718.2,13822.2,13674.8,13785.1,266862118
2007-07-26,13783.1,13783.5,13335.3,13473.6,426884258
2007-07-27,13472.7,13520.8,13265.5,13265.5,337123901
2007-07-30,13266.2,13397.7,13219.1,13358.3,295454048
2007-07-31,13360.7,13498.5,13199.8,13212,319889551
2007-08-01,13211.1,13393,13132.7,13362.4,355960030
2007-08-02,13357.8,13503.3,13350.4,13463.3,264831582
2007-08-03,13462.2,13471.8,13175.2,13181.9,301804900
2007-08-06,13183.1,13470.2,13158.6,13468.8,311806661
2007-08-07,13467.7,13608.1,13347.2,13504.3,273338666
2007-08-08,13497.2,13695.8,13484.8,13657.9,288036232
2007-08-09,13652.3,13652.3,13270.7,13270.7,362490417
2007-08-10,13270.6,13306.5,13057.9,13239.5,338564771
2007-08-13,13238.2,13338.2,13219.5,13236.5,215259612
2007-08-14,13235.7,13269.8,13018.3,13028.9,269115417
2007-08-15,13021.9,13116.6,12836,12861.5,272764625
2007-08-16,12859.5,12885.8,12517.9,12845.8,457145418
2007-08-17,12848,13167.7,12847.8,13079.1,423942459
2007-08-20,13078.5,13181.7,12982.8,13121.3,231801965
2007-08-21,13120,13178.3,13052.2,13090.9,203995392
2007-08-22,13088.2,13246.4,13088.2,13236.1,205525746
2007-08-23,13237.3,13298.6,13169.2,13235.9,198161333
2007-08-24,13231.8,13381.5,13208.7,13378.9,186057245
2007-08-27,13377.2,13387.3,13305.5,13322.1,152444330
2007-08-28,13318.4,13318.6,13034.8,13041.8,230466352
2007-08-29,13043.1,13293.4,13043.1,13289.3,227441997
2007-08-30,13287.9,13315.1,13184.6,13238.7,193256512
2007-08-31,13240.8,13429,13240.8,13357.7,234973696
2007-09-04,13358.4,13494,13317.5,13448.9,262296928
2007-09-05,13442.8,13443.2,13248.2,13305.5,231891968
2007-09-06,13306.4,13398.7,13274.8,13363.3,203614528
2007-09-07,13360.7,13360.8,13082.2,13113.4,238329984
2007-09-10,13116.4,13207.2,13021.9,13127.8,221869376
2007-09-11,13129.4,13326,13129.2,13308.4,200179696
2007-09-12,13298.3,13360,13263,13291.7,195300192
2007-09-13,13292.4,13469.3,13292.4,13424.9,209946209
2007-09-14,13421.4,13459.8,13323.8,13442.5,204783885
2007-09-17,13442,13451.5,13362.4,13403.4,169718225
2007-09-18,13403.2,13740,13403.2,13739.4,277629124
2007-09-19,13740.6,13867.5,13739.9,13815.5,276593881
2007-09-20,13813.5,13822.1,13741,13766.7,200884909
2007-09-21,13768.3,13877.2,13768.2,13820.2,419389397
2007-09-24,13821.6,13874.4,13750.9,13759,236688076
2007-09-25,13757.8,13787.2,13696.3,13778.7,213042949
2007-09-26,13779.3,13915.8,13779.3,13878.2,206563674
2007-09-27,13879.5,13920.4,13868.2,13912.9,156924010
2007-09-28,13912.9,13924.8,13850.3,13895.6,203029921
2007-10-01,13895.7,14115.5,13893.5,14087.5,205715571
2007-10-02,14087.1,14107.5,14012.1,14047.3,169271994
2007-10-03,14038.9,14038.9,13947.7,13968,178924269
2007-10-04,13967.9,14010.4,13951.6,13974.3,143300921
