Series Name,Series Code,Time,Time Code,United States [USA],China [CHN],"Macao SAR, China [MAC]","Hong Kong SAR, China [HKG]"
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2000,YR2000,33.158223429011,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2001,YR2001,15.1087327374281,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2002,YR2002,53.6295011785,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2003,YR2003,55.98548998451,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2004,YR2004,56.3958094092283,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2005,YR2005,56.3034158496978,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2006,YR2006,55.3058887312022,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2007,YR2007,55.6467199235234,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2008,YR2008,64.0372557628174,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2009,YR2009,76.3374591911262,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2010,YR2010,85.6223635712878,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2011,YR2011,90.1978653590693,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2012,YR2012,94.4067735235377,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2013,YR2013,96.6128183555755,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2014,YR2014,96.892838254519,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2015,YR2015,97.3748109483986,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2016,YR2016,99.4568598577946,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2017,YR2017,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2018,YR2018,..,..,..,..
